Erstellungsdatum; Performance seit beginn; Durchschnittliche Performance pro Jahr; Maximaler Drawdown; Erstemission; Performancegebühr; ISIN; Investiertes Kapital
11.05.2016;126,20%;12,60%;-27,50%;01.12.2016;5%;DE000LS9KF55;344.690,42
23.05.2016;63,30%;7,20%;-33,80%;13.07.2016;5%;DE000LS9JRX2;29.379,76
31.05.2016;112,40%;11,60%;-41,60%;13.07.2016;5%;DE000LS9JSJ9;252.527,28
12.06.2016;97,60%;10,40%;-55,40%;01.09.2016;18%;DE000LS9J0L2;9.896.993,01
15.06.2016;85,00%;9,40%;-42,50%;01.09.2016;5%;DE000LS9J0X7;297.443,22
24.06.2016;15,50%;2,00%;-61,90%;01.09.2016;5%;DE000LS9JZM8;19.061,28
30.06.2016;44,00%;5,30%;-66,20%;01.09.2016;5%;DE000LS9JZW7;76.959,09
04.07.2016;133,30%;13,50%;-36,00%;01.09.2016;15%;DE000LS9J1D7;19.393,44
11.07.2016;134,50%;13,40%;-30,90%;21.09.2016;10%;DE000LS9J206;10.424,81
01.08.2016;37,30%;4,90%;-26,10%;01.12.2016;10%;DE000LS9KFM8;97.882,41
02.08.2016;64,00%;7,50%;-38,20%;21.09.2016;10%;DE000LS9J4F6;10.332,29
09.08.2016;29,00%;3,90%;-47,60%;10.10.2016;10%;DE000LS9J7W4;18.574,16
04.09.2016;29,60%;4,00%;-30,30%;09.11.2016;0%;DE000LS9J9Y6;53.512,79
06.09.2016;171,90%;16,10%;-80,50%;01.08.2017;20%;DE000LS9LX86;289.958,52
12.09.2016;41,70%;5,30%;-31,40%;09.11.2016;15%;DE000LS9KCL7;618.210,03
14.09.2016;175,90%;16,60%;-34,50%;09.11.2016;5%;DE000LS9KBH7;1.142.010,16
15.09.2016;96,10%;10,80%;-33,10%;01.12.2016;5%;DE000LS9KFD7;4.901,08
09.10.2016;76,00%;9,60%;-45,30%;29.03.2017;7%;DE000LS9K4N7;131.011,89
09.10.2016;132,70%;13,90%;-63,10%;20.12.2016;10%;DE000LS9KKH8;56.559,05
10.10.2016;35,00%;4,70%;-32,40%;01.08.2017;5%;DE000LS9LZS1;19.436,46
16.10.2016;-11,40%;-1,90%;-32,00%;19.01.2018;5%;DE000LS9MP85;8.412,01
17.10.2016;359,90%;26,70%;-47,60%;20.12.2016;10%;DE000LS9KKY3;8.016.004,68
